das Gefängnis	The prison — Substantiv, Neutrum
die Abrechnung	The settlement/billing — Substantiv, Femininum
Sich verabschieden	To say goodbye — Reflexives Verb
Unangenehm	Unpleasant — Adjektiv
nebenbei	Incidentally/Besides — Adverb
Die lIste abhaken	To check off the list — Ausdruck
Aktuell lese ich das Buch XY	Currently, I'm reading the book XY — Aussage/Satz
Eigentlich habe ich keinen Hunger, aber	Actually, I'm not hungry, but — Aussage/Satz
das Schlagloch in der Straße	The pothole in the street — Substantiv, Neutrum
der Tennisplatz	The tennis court — Substantiv, Maskulinum
Ein Haus mit zwei Etagen	A house with two floors — Beschreibung
der Wolkenkratzer	The skyscraper — Substantiv, Maskulinum
In Schuss sein	To be in good condition — Idiomatischer Ausdruck
die Börse	The stock exchange — Substantiv, Femininum
Einen Fehler beheben	To fix a mistake — Verbphrase
Angst überwinden	To overcome fear — Verbphrase
Ins kalte Wasser springen	To jump in at the deep end — Idiomatischer Ausdruck
Obwohl	Although — Konjunktion
der Spielplatz	The playground — Substantiv, Maskulinum
Das Sofa ist bequem. Das Zimmer ist gemütlich. Und ich fühle mich wohl!	The sofa is comfortable. The room is cozy. And I feel good! — Aussage/Satz
Nicht-fiktionales Texten	Non-fiction text creation — Verbphrase
der nicht-fiktionale Text	Non-fiction text — Substantiv, Maskulinum
