goldig	adorable — Adjektiv
Wir wohnen an der Hauptstraße	We live on the main street — Satz
Wir gehen durch die Straßen spazieren.	We walk through the streets. — Satz
insofern	insofar — Konjunktion
INSOFERN, ALS	insofar as — Konjunktion
Inwiefern	To what extent — Fragewort
die Formel	the formula — Substantiv, feminin
die Kugel	the sphere — Substantiv, feminin
das Stipendium	the scholarship — Substantiv, neutrum
die Ausgabe	the edition — Substantiv, feminin
Er versteht nicht, warum sie es sich nicht leisten können.	He does not understand why they cannot afford it. — Satz
kastanienbraun	chestnut brown — Adjektiv
erschöpft	exhausted — Adjektiv
sehnen	to long for — Verb
wagen	to dare — Verb
Bedenken äußern	to express concerns — Phrase
die Voraussetzungen	requirements — Substantiv, feminin, Plural
die Lebensbedingungen	living conditions — Substantiv, feminin, Plural
der Einheimische	local — Substantiv, maskulin
der Migrationshintergrund	migration background — Substantiv, maskulin
geflohen	fled — Partizip Perfekt, Verb
der Flüchtling	refugee — Substantiv, maskulin
ausgewandert	emigrated — Partizip Perfekt, Verb
zurückgekehrt	returned — Partizip Perfekt, Verb
beantragt	applied for — Partizip Perfekt, Verb
Asyl beantragt	applied for asylum — Phrase
Familie Skeif hat in Deutschland einen Antrag auf Asyl gestellt.	The Skeif family applied for asylum in Germany. — Satz
das Heimweh	homesickness — Substantiv, neutrum
das Fernweh	wanderlust — Substantiv, neutrum
niederzulassen	to settle — Verb
die Absicht, die Vorsicht, die Rücksicht	intention, caution, consideration — Substantive, feminin
ursprünglich	originally — Adverb
Bei der Integration hat ihm geholfen, dass er schnell Kontakte geknüpft hat.	It helped him in integration that he quickly made contacts. — Satz
Bummeln Sie durch die Gassen und probieren Sie bei einer Pause in einem Café die berühmten Salzburger Nockerln.	Stroll through the alleys and try the famous Salzburg dumplings during a break in a café. — Satz
Entdecken Sie eine neue Stadt am liebsten in Ruhe und ohne zu hetzen.	Discover a new city preferably calmly and without rushing. — Satz
Mit uns bummeln Sie gemütlich durch die schönen Gassen der Münchner Altstadt.	With us, stroll comfortably through the beautiful alleys of Munich's old town. — Satz
Flanieren Sie mit uns	Stroll with us — Satz
Beobachten Sie das Pulsieren im Stadtzentrum!	Observe the pulsing in the city center! — Satz
Probieren Sie die feine Küche Bayerns am Viktualienmarkt!	Try the fine cuisine of Bavaria at the Viktualienmarkt! — Satz
Besuchen Sie mit uns das Stammlokal der Münchner Fußballstars.	Visit with us the regular restaurant of Munich's football stars. — Satz
Einer der Fans fing einige Eier auf und bot der Frau an, Eierkuchen für sie zu backen.	One of the fans caught some eggs and offered to bake pancakes for the woman. — Satz
Dank seiner positiven Reaktion beruhigte sich die Frau.	Thanks to his positive reaction, the woman calmed down. — Satz
ihres Auslandsaufenthalts in London spricht Emma fließend Englisch.	Due to her stay abroad in London, Emma speaks fluent English. — Satz
Hätte ich Bauchschmerzen gehabt, …	Had I had a stomach ache, … — Irreale Bedingung
Falls ich Bauchschmerzen gehabt hätten, …	If I had had a stomach ache, … — Unreale Bedingung
Bei Bauchschmerzen, …	In case of stomach ache, … — Bedingung
