die Grafik(en)	graphics — Plural noun
Gassi gehen	to go for a walk (with a dog) — Verb phrase
weil sie stinken	because they stink — Subordinate clause
weil sie schon riechen	because they already smell — Subordinate clause
schafe scheren	to shear sheep — Verb phrase
die Schafschur	the sheep shearing — Noun, feminine
dann lassen wir uns von Erwin wecken	then we let Erwin wake us up — Sentence, reflexive
Während wir bei der Arbeit sind, lassen	While we are at work, we let... — Sentence fragment
Abendessen zubereiten	prepare dinner — Verb phrase
Essen zubereiten	prepare food — Verb phrase
das Geschirr spülen	wash the dishes — Verb phrase
die Wäsche waschen	do the laundry — Verb phrase
sie entwickeln eine die Beziehung zu dem Roboter	they develop a relationship with the robot — Sentence
es kommt einem vor, als ob	it seems to one as if — Expression
hätte	would have / had — Konjunktiv II / Subjunctive II
das klingt gut	that sounds good — Expression
das gefällt mir	I like that — Expression
gute Idee	good idea — Phrase
ich probiere das auch	I'll try that too — Sentence
das gefällt mir nicht	I don't like that — Expression
das stimmt nicht	that's not true — Expression
ich habe etwas anderes erlebt	I experienced something else — Sentence
das ist Quatsch	that's nonsense — Expression
das ist keine gute Idee	that's not a good idea — Expression
das kann ich mir nicht vorstellen	I can't imagine that — Expression
das klingt aber nicht gut	but that doesn't sound good — Expression
das ist nicht mein Ding	that's not my thing — Expression
denk nochmal darüber nach	think about it again — Imperative phrase
sich zu erholen	to recover — Reflexive verb
greifen immer mehr ineinander	increasingly interlock — Verb phrase
die Verbindung	connection — Noun, feminine
der Lautsprecher	the speaker — Noun, masculine
die der Draht, die Drähte, die Drähte	the wire, the wires — Noun, masculine
während sich die Politik nicht wirklich um Klimaschutz kümmert	while politics doesn't really care about climate protection — Subordinate clause
sicherzustellen	to ensure — Infinitive
dass wir	that we — Conjunction + pronoun
bei Projekten	in projects — Prepositional phrase
den vorgenannten Zeitplänen folgen	follow the aforementioned schedules — Verb phrase
der Zins(en)	interest (financial) — Noun, plural
geholfen, mehr als Euro einzusparen	helped save more than euros — Verb phrase
Ich habe mich aktiv in Geschäftsvorhaben meines Unternehmens eingebracht und an Effizienzprojekten mitgearbeitet	I actively participated in my company's business ventures and worked on efficiency projects — Sentence
, und damit meinem Unternehmen zu hohen wirtschaftlichen Erfolgen verholfen.	and thereby helped my company achieve great economic success — Sentence continuation
großen	great / large — Adjective
wenn Sie die mir die Möglichkeit geben, meine Fähigkeiten unter Beweis zu stellen, freue ich mich sehr	if you give me the opportunity to prove my skills, I would be very pleased — Sentence
er mischt sich ein	he interferes — Verb phrase
sie sind nicht gut in sozialen die Beziehungen	they're not good at social relationships — Sentence
was haben die davon	what do they get out of it — Phrase
als es die mobile App herausgegeben hat	when it released the mobile app — Clause
die Notaufnahme	the emergency room — Noun, feminine
etwas Schlimmes	something bad — Phrase
diagnostizieren	to diagnose — Verb
auf den ersten Blick	at first glance — Expression
eine neue die Version	a new version — Noun phrase
besser	better — Adjective / comparative
die Fortsetzung	continuation / sequel — Noun, feminine
sie sind sehr gut darin, die das Gefühl(e) zu vermitteln	they are very good at conveying emotions — Sentence
hat ihr eigenes ChatGPT	has her own ChatGPT — Phrase
das Chatprogramm	the chat program — Noun, neuter
ihre eigene die KI	her own AI — Phrase
die KI	the AI — Noun, feminine
unaufhörlich	incessantly — Adverb
die Vorliebe(n)	preferences — Noun, plural
was du lieber magst	what you prefer — Phrase
schwarzer der Humor	dark humor — Noun phrase
kindisch	childish — Adjective
der Humor ist kindisch	the humor is childish — Sentence
dass sie sich noch mehr aus der Gesellschaft zurückziehen	that they withdraw even more from society — Subordinate clause
er hat der Frau einen der Antrag gestellt	he proposed to the woman — Sentence
Ego Shooter	first-person shooter — Noun
in der die Nacht	at night — Prepositional phrase
wenn Sie mir die Möglichkeit geben, meine Fähigkeiten unter Beweis zu stellen, freue ich mich sehr	 — 
den der Nervenkitzel	the thrill — Noun
durchführen	to carry out — Verb
durchzuführen	to carry out (infinitive with zu) — Infinitive + zu
