der Betreff	subject — Substantiv, maskulin
der Eintrittstermin	starting date — Substantiv, maskulin
die Anrede	salutation — Substantiv, feminin
die Einleitung	introduction — Substantiv, feminin
Nach langjähriger Tätigkeit als Erzieherin in unterschiedlichen Kinderbetreuungseinrichtungen übernahm ich 2015 die stellvertretende Leitung bei KiK – Kinder in Köln.	After many years of working as an educator in various childcare facilities, I took on the position of deputy director at KiK – Children in Cologne in 2015. — Satz
Dort erwarb ich zahlreiche Kompetenzen, die ich im Kindergarten Rappelkiste gern einbringen würde.	I acquired numerous skills there, which I would like to apply at the Rappelkiste Kindergarten. — Satz
In meinen Aufgabenbereich fallen neben der pädagogisch-inhaltlichen Arbeit auch viele administrative und organisatorische Tätigkeiten.	In my scope of duties, in addition to pedagogical-content work, are also many administrative and organizational tasks. — Satz
Darüber hinaus habe ich in meiner Weiterbildung Leitung in Sozialberufen Kenntnisse in Arbeitsrecht und Personalführung erworben.	Furthermore, I acquired knowledge in labor law and personnel management in my continuing education in management in social professions. — Satz
Ergänzt werden diese durch drei Jahre Arbeitserfahrung im Bereich Verwaltung in der Familienberatungsstelle Gemeinsam stark.	These are complemented by three years of work experience in administration at the family counseling center Gemeinsam stark. — Satz
Ich arbeite leidenschaftlich gern mit Kindern und bin mit verschiedenen pädagogischen Methoden, etwa der Freinet- und der Reggio-Pädagogik bestens vertraut.	I love working with children and am very familiar with various pedagogical methods, such as Freinet and Reggio approaches. — Satz
Besonders intensiv habe ich mich aber in zwei umfangreichen Fortbildungen mit der Montessori-Pädagogik und dramapädagogischen Ansätzen beschäftigt.	However, I have dealt particularly intensively with Montessori pedagogy and drama pedagogical approaches in two extensive training courses. — Satz
Gerade Letztere haben sich im Bereich des Konfliktmanagements als sehr hilfreich erwiesen.	The latter, in particular, have proven to be very helpful in the area of conflict management. — Satz
Selbst zweisprachig aufgewachsen, bin ich sowohl mit der deutschen als auch der türkischen Kultur von Kindheit an vertraut.	Growing up bilingual, I have been familiar with both German and Turkish culture since childhood. — Satz
Er erleichtert die Kommunikation mit Kindern und Eltern türkischer Herkunft und ermöglicht ein besseres Verstehen von kulturell bedingten Konflikten.	It facilitates communication with children and parents of Turkish descent and allows a better understanding of culturally induced conflicts. — Satz
Auch in meiner Freizeit beschäftige ich mich gern mit Kindern.	I also like working with children in my free time. — Satz
Ich bin in einer Theatergruppe in meinem Viertel aktiv und habe dort schon in verschiedenen Rollen auf der Bühne gestanden.	I am active in a theatre group in my neighborhood and have already performed in various roles on stage there. — Satz
Vor allem aber leite ich regelmäßig mit großer Begeisterung Theaterprojekte mit Kindern.	Above all, I regularly lead theatre projects with children with great enthusiasm. — Satz
Aufgrund meiner Kündigungsfrist wäre mein frühester Eintrittstermin der 1. Oktober.	Due to my notice period, my earliest starting date would be October 1. — Satz
Über eine Einladung zu einem persönlichen Gespräch würde ich mich sehr freuen.	I would be delighted to receive an invitation for a personal interview. — Satz
die Ransomware	ransomware — Substantiv, feminin
ein Lösegeld erpressen	to extort a ransom — Redewendung
der Vandalismus	vandalism — Substantiv, maskulin
es erzeugt zusätzliche Probleme, die man sich hätte sparen können	it creates additional problems that could have been avoided — Satz
vermeiden	to avoid — Verb
das muss eine Gewohnheit werden	that must become a habit — Satz
der Feiertag	public holiday — Substantiv, maskulin
ich hatte den Wecker ausgeschaltet	I had turned off the alarm clock — Satz
der Vorgesetzte, die Vorgesetzte	superior, manager — Substantiv, maskulin/feminin
Aufgaben erledigen	to complete tasks — Redewendung
ich muss das schnell erledigen	I must complete this quickly — Satz
meine Lösungen sollen eine hohe Qualität haben/ qualitativ hochwertig sein	my solutions should be of high quality — Satz
meine Lösungen sollen die besten sein	my solutions should be the best — Satz
durchchecken	to check through — Verb
ich muss die Software durchchecken	I need to check through the software — Satz
seine Ergebnisse	his results — Phrase, Substantiv
nachdem er die Software durchgecheckt hat...	after he has checked through the software... — Satz
die Software	software — Substantiv, feminin
was man mit den Funktionen tun kann	what one can do with the functions — Satz
sie hat Verantwortung für	she has responsibility for — Satz
sie ist verantwortlich für	she is responsible for — Satz
das Errichten von Gebäuden	the construction of buildings — Phrase
das Facility Management	facility management — Substantiv, sächlich
sie arbeiten sehr sorgfältig	they work very carefully — Satz
(alle schauen hin)	(everyone is looking) — Phrase
jeder achtet darauf, dass es keine Fehler gibt	everyone ensures there are no mistakes — Satz
die konstruktive Kritik	constructive criticism — Substantiv, feminin
dass sie sich gegenseitig kritisieren	that they criticize each other — Satz
Gute Reise!	Safe travels! — Grußformel
der Staat	state — Substantiv, maskulin
aufrüsten = in das Militär investieren	to arm = to invest in the military — Verb
in ein Land einmarschieren = Territorium eines fremden Staates besetzen	to invade a country = to occupy the territory of a foreign state — Verb
es jemandem Recht machen	to please someone — Redewendung
nach jemandes Wünschen handeln	to act according to someone’s wishes — Redewendung
konkurrenzfähig bleiben	to stay competitive — Verb
im Wettbewerb	in competition — Phrase
dass er gute Chancen hat	that he has good chances — Satz
die Chancengleichheit	equal opportunities — Substantiv, feminin
das Bafög	student grant — Substantiv, sächlich, Deutschland
es fliegt auf (auffliegen)	it comes to light — Redewendung
die Wahrheit kommt ans Licht	the truth comes to light — Redewendung
die Anforderungen	the requirements — Substantiv, feminin, Plural
die Stellenanzeigen	job advertisements — Substantiv, feminin, Plural
das Muster	a pattern — Substantiv, sächlich
du hast die zweite Unterrichtseinladung noch nicht angenommen	you have not yet accepted the second class invitation — Satz
deprimierend	depressing — Adjektiv
zugenommen	increased — Verb, Partizip II
verzweifelt	desperate — Adjektiv
das ist eine Gratwanderung	that's a balancing act — Redewendung
spielen	to play — Verb
Glücksspiele spielen	to gamble — Redewendung
du wirst deine Meinung ändern	you will change your mind — Satz
rechtsverbindlich	legally binding — Adjektiv
es ist ein zweischneidiges Schwert	it's a double-edged sword — Redewendung
den Geldautomaten	the ATM — Nomen, maskulin, Akkusativ (n-Deklination)
die Gewohnheit	habit — Substantiv, feminin
das ist passiert	that happened — Satz
der Geldautomat	ATM — Substantiv, maskulin
die Lehrkräfte	teachers — Substantiv, feminin, Plural
die Gelehrten	scholars — Substantiv, feminin, Plural
leidenschaftlich	passionate — Adjektiv
sie haben uns mit ihrer Leidenschaft angesteckt	they infected us with their passion — Satz
die PPT-Folien	the PPT slides — Phrase
ugs: er war eine Schlaftablette	coll.: he was a bore — Umgangssprache
der Vortrag war kaum auszuhalten	the lecture was barely tolerable — Satz
ugs: board copy mode	coll.: board copy mode — Umgangssprache
sie wollen nur forschen und nicht lehren	they only want to research, not teach — Satz
mit 23 hatte ich meinen Master-Abschluss	at 23, I had my master's degree — Satz
der HiWi	research assistant — Substantiv, maskulin
der Hilfswissenschaftler	assistant researcher — Substantiv, maskulin
Übungsaufgaben korrigiert	corrected exercise tasks — Phrase
das Praktikum	internship — Substantiv, sächlich
eine Masterarbeit schreiben	to write a master's thesis — Redewendung
das habe ich	I have that — Satz
stimmt	that's right — Satz
die Landwirtschaft	agriculture — Substantiv, feminin
die Algorithmen	the algorithms — Substantiv, maskulin, Plural
keine Ausrede	no excuse — Phrase
es gibt viele Faktoren, die die Preissetzung beeinflussen	there are many factors affecting pricing — Satz
die alleinerziehende Mutter	single mother — Substantiv, feminin
ugs. ich wollte keinen Stress mit dem Geld haben	coll. I didn't want stress about money — Umgangssprache
uns wurde gesagt, dass	we were told that — Satz
das hat sich gut angehört	that sounded good — Satz
es gibt drei Institute	there are three institutes — Satz
erstellt Modelle	creates models — Verb
die Kalkulation der Preise	the calculation of prices — Phrase
manchmal ist es verfügbar und manchmal nicht	sometimes it's available and sometimes not — Satz
der Wettbewerb	competition — Substantiv, maskulin
im Landkreis	in the district — Phrase
auf dem dritten Platz	in third place — Phrase
nach dem Abitur	after graduation — Phrase
die Stadtverwaltung	city administration — Substantiv, feminin
die Erinnerung	memory — Substantiv, feminin
der Getränkeautomat	vending machine — Substantiv, maskulin
das Fischerdorf	fishing village — Substantiv, sächlich
am Meer / am Ozean	by the sea / by the ocean — Phrase
Es gab Schilder, die vor Tsunamis warnen. Auf ihnen stand:	There were signs warning of tsunamis. They read: — Satz
sie haben nichts davon gemerkt	they didn’t notice any of it — Satz
das Erdbeben	earthquake — Substantiv, sächlich
es ist der totale Gegensatz zu Tokio	it's the complete opposite of Tokyo — Satz
das Dorf ist nicht so hektisch wie Tokio	the village is not as hectic as Tokyo — Satz
allgegenwärtig	ubiquitous — Adjektiv
die Vögel zwitschern	the birds are chirping — Satz
den Blick	the view — Substantiv, maskulin, Akkusativ
vom Stephansdom	from St. Stephen's Cathedral — Phrase
die anderen Gebäude	the other buildings — Substantiv, sächlich, Plural
verlobt	engaged — Adjektiv
der Steinbruch	quarry — Substantiv, maskulin
Mühlheim-Dietesheim	Mühlheim-Dietesheim — Eigenname
unvernünftig	unreasonable — Adjektiv
sie begehen Fahrerflucht	they commit hit-and-run — Satz
die Karies	cavities — Substantiv, feminin
er hat die Oberfläche abgeschliffen	he sanded the surface — Satz
der Bohrer	drill — Substantiv, maskulin
die PZR	professional dental cleaning — Abkürzung, Substantiv, feminin
die Haftpflichtversicherung	liability insurance — Substantiv, feminin
die Gewohnheit	habit — Substantiv, feminin
ich will, dass es meine Gewohnheit wird	I want it to become my habit — Satz
